year,organ,number_of_deceased_organ_donors_recovered,number_of_living_organ_donors_recovered,number_of_deceased_donor_organ_transplant_recipients,number_of_living_donor_organ_transplant_recipients
2017,Heart,3305,0,3239,0
2017,Kidney,9401,5811,14027,5805
2017,Kidney-Pancreas,0,0,789,0
2017,Liver,8373,367,7616,367
2017,Lung,2440,0,2440,0
2017,Pancreas,1316,0,210,0
2017,All,10286,6178,27282,6172
2018,Heart,3466,0,3400,0
2018,Kidney,9867,6443,14713,6438
2018,Kidney-Pancreas,0,0,834,0
2018,Liver,8473,402,7741,401
2018,Lung,2543,0,2522,0
2018,Pancreas,1312,0,190,0
2018,All,10721,6845,28381,6836
2019,Heart,3635,0,3542,0
2019,Kidney,11152,6866,16521,6865
2019,Kidney-Pancreas,0,0,872,0
2019,Liver,9151,523,8263,524
2019,Lung,2755,0,2711,0
2019,Pancreas,1374,0,143,0
2019,All,11870,7389,30967,7389
2020,Heart,3761,0,3647,0
2020,Kidney,11925,5234,17574,5232
2020,Kidney-Pancreas,0,0,827,0
2020,Liver,9210,491,8291,491
2020,Lung,2578,0,2536,0
2020,Pancreas,1266,0,134,0
2020,All,12588,5725,31778,5723
2021,Heart,3900,0,3806,0
2021,Kidney,13215,5972,18684,5969
2021,Kidney-Pancreas,0,0,820,0
2021,Liver,9541,568,8547,569
2021,Lung,2631,0,2520,0
2021,Pancreas,1319,0,140,0
2021,All,13863,6540,33229,6538
2022,Heart,4223,0,4105,0
2022,Kidney,14228,5863,19621,5861
2022,Kidney-Pancreas,0,0,810,0
2022,Liver,9812,603,8807,603
2022,Lung,2852,0,2684,0
2022,Pancreas,1310,0,106,0
2022,All,14905,6466,34763,6462
